Date,Title,Artist
11/08/1991,La Zoubida (parodie de la chanson traditionnelle Sur le pont de Nantes),Lagaf'
18/08/1991,La Zoubida (parodie de la chanson traditionnelle Sur le pont de Nantes),Lagaf'
25/08/1991,La Zoubida (parodie de la chanson traditionnelle Sur le pont de Nantes),Lagaf'
01/09/1991,La Zoubida (parodie de la chanson traditionnelle Sur le pont de Nantes),Lagaf'
08/09/1991,La Zoubida (parodie de la chanson traditionnelle Sur le pont de Nantes),Lagaf'
15/09/1991,La Zoubida (parodie de la chanson traditionnelle Sur le pont de Nantes),Lagaf'
22/09/1991,La Zoubida (parodie de la chanson traditionnelle Sur le pont de Nantes),Lagaf'
29/09/1991,La Zoubida (parodie de la chanson traditionnelle Sur le pont de Nantes),Lagaf'
06/10/1991,La Zoubida (parodie de la chanson traditionnelle Sur le pont de Nantes),Lagaf'
13/10/1991,(Everything I Do) I Do It for You,Bryan Adams
20/10/1991,(Everything I Do) I Do It for You,Bryan Adams
27/10/1991,(Everything I Do) I Do It for You,Bryan Adams
03/11/1991,(Everything I Do) I Do It for You,Bryan Adams
10/11/1991,(Everything I Do) I Do It for You,Bryan Adams
17/11/1991,(Everything I Do) I Do It for You,Bryan Adams
24/11/1991,(Everything I Do) I Do It for You,Bryan Adams
01/12/1991,(Everything I Do) I Do It for You,Bryan Adams
08/12/1991,Qui a le droit...,Patrick Bruel
15/12/1991,Qui a le droit...,Patrick Bruel
22/12/1991,Qui a le droit...,Patrick Bruel
29/12/1991,Qui a le droit...,Patrick Bruel
05/01/1992,Qui a le droit...,Patrick Bruel
12/01/1992,Qui a le droit...,Patrick Bruel
19/01/1992,Song of Ocarina,Jean-Philippe Audin et Diego Modena
26/01/1992,Black or White,Michael Jackson
02/02/1992,Black or White,Michael Jackson
