Date,Title,Artist
28/09/2014,Dangerous,David Guetta ft. Sam Martin
05/10/2014,Uptown Funk,Mark Ronson ft. Bruno Mars
12/10/2014,Uptown Funk,Mark Ronson ft. Bruno Mars
19/10/2014,Uptown Funk,Mark Ronson ft. Bruno Mars
26/10/2014,Uptown Funk,Mark Ronson ft. Bruno Mars
02/11/2014,Uptown Funk,Mark Ronson ft. Bruno Mars
09/11/2014,Uptown Funk,Mark Ronson ft. Bruno Mars
16/11/2014,Uptown Funk,Mark Ronson ft. Bruno Mars
23/11/2014,Uptown Funk,Mark Ronson ft. Bruno Mars
30/11/2014,Uptown Funk,Mark Ronson ft. Bruno Mars
07/12/2014,Uptown Funk,Mark Ronson ft. Bruno Mars
14/12/2014,Uptown Funk,Mark Ronson ft. Bruno Mars
21/12/2014,Uptown Funk,Mark Ronson ft. Bruno Mars
28/12/2014,Avenir,Louane Emera
04/01/2015,Avenir,Louane Emera
11/01/2015,Cheerleader,OMI
18/01/2015,Cheerleader,OMI
25/01/2015,Cheerleader,OMI
01/02/2015,Cheerleader,OMI
08/02/2015,Cheerleader,OMI
15/02/2015,Cheerleader,OMI
22/02/2015,Cheerleader,OMI
01/03/2015,Cheerleader,OMI
08/03/2015,Homeless,Marina Kaye
15/03/2015,Homeless,Marina Kaye
22/03/2015,Cheerleader,OMI
29/03/2015,Cheerleader,OMI
05/04/2015,Goodbye,Feder ft. Lyse
12/04/2015,Goodbye,Feder ft. Lyse
19/04/2015,Goodbye,Feder ft. Lyse
26/04/2015,Goodbye,Feder ft. Lyse
03/05/2015,Goodbye,Feder ft. Lyse
10/05/2015,Goodbye,Feder ft. Lyse
17/05/2015,Stole the Show,Kygo ft. Parson James
24/05/2015,Stole the Show,Kygo ft. Parson James
31/05/2015,Drag Me Down,One Direction
07/06/2015,El Perdón,Nicky Jam & Enrique Iglesias
14/06/2015,El Perdón,Nicky Jam & Enrique Iglesias
21/06/2015,El Perdón,Nicky Jam & Enrique Iglesias
28/06/2015,Stolen Car,Mylène Farmer & Sting
05/07/2015,El Perdón,Nicky Jam & Enrique Iglesias
12/07/2015,El Perdón,Nicky Jam & Enrique Iglesias
19/07/2015,El Perdón,Nicky Jam & Enrique Iglesias
26/07/2015,Summer 2015,L.E.J
02/08/2015,Summer 2015,L.E.J
09/08/2015,Stolen Car,Mylène Farmer & Sting
16/08/2015,Marvin Gaye,Charlie Puth ft. Meghan Trainor
23/08/2015,Hello,Adele
30/08/2015,Hello,Adele
06/09/2015,Hello,Adele
13/09/2015,Hello,Adele
20/09/2015,Hello,Adele
27/09/2015,Hello,Adele
04/10/2015,Hello,Adele
11/10/2015,Hello,Adele
18/10/2015,Hello,Adele
25/10/2015,Hello,Adele
01/11/2015,Hello,Adele
08/11/2015,Space Oddity,David Bowie
15/11/2015,Catch & Release,Matt Simons
22/11/2015,Toujours debout,Renaud
29/11/2015,Work,Rihanna feat. Drake
06/12/2015,Catch & Release,Matt Simons
13/12/2015,Come,Jain
20/12/2015,Work,Rihanna feat. Drake
27/12/2015,Faded,Alan Walker
03/01/2016,Faded,Alan Walker
10/01/2016,Faded,Alan Walker
17/01/2016,Faded,Alan Walker
24/01/2016,City of Love,Mylène Farmer
31/01/2016,This Girl,Kungs vs Cookin' on 3 Burners feat. Kylie Auldist
07/02/2016,One Dance,Drake feat. Wizkid et Kyla
14/02/2016,This Girl,Kungs vs Cookin' on 3 Burners feat. Kylie Auldist
21/02/2016,Purple Rain,Prince and The Revolution
28/02/2016,Cheap Thrills,Sia
